"Date","Price","Open","High","Low","Vol.","Change %"
"20-05-2026","3,005.00","3,005.00","3,005.00","3,005.00","","-1.60%"
"19-05-2026","3,054.00","3,054.00","3,054.00","3,054.00","","-1.23%"
"18-05-2026","3,092.00","3,092.00","3,092.00","3,092.00","","-1.87%"
"15-05-2026","3,151.00","3,151.00","3,151.00","3,151.00","","-1.38%"
"14-05-2026","3,195.00","3,195.00","3,195.00","3,195.00","","0.19%"
"13-05-2026","3,189.00","3,189.00","3,189.00","3,189.00","","4.11%"
"12-05-2026","3,063.00","3,063.00","3,063.00","3,063.00","","2.07%"
"11-05-2026","3,001.00","3,001.00","3,001.00","3,001.00","","0.77%"
"08-05-2026","2,978.00","2,978.00","2,978.00","2,978.00","","-1.85%"
"07-05-2026","3,034.00","3,034.00","3,034.00","3,034.00","","1.44%"
"06-05-2026","2,991.00","2,991.00","2,991.00","2,991.00","","5.61%"
"05-05-2026","2,832.00","2,832.00","2,832.00","2,832.00","","3.74%"
"01-05-2026","2,730.00","2,730.00","2,730.00","2,730.00","","1.64%"
"30-04-2026","2,686.00","2,686.00","2,686.00","2,686.00","","0.60%"
"29-04-2026","2,670.00","2,670.00","2,670.00","2,670.00","","-0.26%"
"28-04-2026","2,677.00","2,677.00","2,677.00","2,677.00","","0.41%"
"27-04-2026","2,666.00","2,666.00","2,666.00","2,666.00","","0.04%"
"24-04-2026","2,665.00","2,665.00","2,665.00","2,665.00","","-0.30%"
"23-04-2026","2,673.00","2,673.00","2,673.00","2,673.00","","-0.07%"
"22-04-2026","2,675.00","2,675.00","2,675.00","2,675.00","","1.33%"
"21-04-2026","2,640.00","2,640.00","2,640.00","2,640.00","","0.27%"
"20-04-2026","2,633.00","2,633.00","2,633.00","2,633.00","","2.57%"
"17-04-2026","2,567.00","2,567.00","2,567.00","2,567.00","","1.74%"
"16-04-2026","2,523.00","2,523.00","2,523.00","2,523.00","","1.57%"
"15-04-2026","2,484.00","2,484.00","2,484.00","2,484.00","","5.52%"
"14-04-2026","2,354.00","2,354.00","2,354.00","2,354.00","","4.62%"
"13-04-2026","2,250.00","2,250.00","2,250.00","2,250.00","","2.23%"
"10-04-2026","2,201.00","2,201.00","2,201.00","2,201.00","","1.85%"
"09-04-2026","2,161.00","2,161.00","2,161.00","2,161.00","","1.03%"
"08-04-2026","2,139.00","2,139.00","2,139.00","2,139.00","","2.10%"
"07-04-2026","2,095.00","2,095.00","2,095.00","2,095.00","","1.40%"
"02-04-2026","2,066.00","2,066.00","2,066.00","2,066.00","","1.77%"
"01-04-2026","2,030.00","2,030.00","2,030.00","2,030.00","","1.75%"
"31-03-2026","1,995.00","1,995.00","1,995.00","1,995.00","","-1.09%"
"30-03-2026","2,017.00","2,017.00","2,017.00","2,017.00","","-0.69%"
"27-03-2026","2,031.00","2,031.00","2,031.00","2,031.00","","0.84%"
